CompoundID	SMILES
102939	O=C(OCC1CC2CC1C=C2)c3cc4ccccc4oc3=O
101956	C[n+]1ccn2cccc2c1c3ccccc3
102942	CC(=N)c1c(O)c2ccccc2oc1=O
101957	CC1=[N+](CC(=O)c2ccccc2)CCn3c(C)ccc13
102944	CC(=O)CC(c1ccccc1)c2c(OC(=O)C)c3ccccc3oc2=O
101958	Cc1ccc2c(C)[n+](CC(=O)c3ccccc3)ccn12
102946	COC(=O)Oc1c(Br)c(=O)oc2ccccc12
101967	COC(=O)C[n+]1ccn2c(C)ccc2c1C
102949	CCOP(=O)(OCC)C1C(C(=O)C)C(=O)Oc2ccccc12
101968	Cc1[n+](CC(=O)c2ccccc2)ccn3cccc13
102951	Cc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1
100261	[O-][N+](=O)c1ccc2C3c4ccccc4C(c5ccc(cc35)[N+](=O)[O-])c2c1
100745	Fc1ccccc1N2N=C(CC2c3ccc(Br)cc3)C=Cc4ccc(Br)cc4
100291	OCC1C(CO)C2c3ccccc3C1c4ccccc24
100746	[O-][N+](=O)c1cccc(C=C2SC(=Nc3ccccc3)N(C2=O)c4ccccc4)c1
100302	OC(=O)C1CC(=C(CC1C(=O)c2ccccc2)c3ccccc3)c4ccccc4
100764	Cc1ccccc1N2C(=O)C3C(N4C5C(C(N4C3C2=O)c6ccccc6)C(=O)N(C5=O)c7ccccc7C)c8ccccc8
100309	CC(NC(=O)C=Cc1ccco1)c2ccccc2
100765	COc1ccccc1N2C(=O)C3C(N4C5C(C(N4C3C2=O)c6ccccc6)C(=O)N(C5=O)c7ccccc7OC)c8ccccc8
100312	CC(NC(=O)C=CC(=O)O)c1ccccc1
100770	COc1ccc(cc1)N2C(=O)C3C(C4c5ccc(cc5C3c6ccc(cc46)C(C)(C)C)C(C)(C)C)C2=O
100315	CCOC(=O)CNC(=O)NC(C)c1ccc(C)cc1
100866	[O-][N+](=O)c1ccc(Cl)c(C[n+]2cccc3ccccc23)c1
